iter	Passed	Remaining
0	151	151645
1	152	76192
2	153	51022
3	154	38431
4	155	30888
5	156	25862
6	157	22271
7	157	19572
8	158	17476
9	159	15797
10	160	14430
11	161	13293
12	162	12342
13	163	11539
14	165	10855
15	166	10231
16	167	9677
17	168	9184
18	169	8742
19	170	8348
20	171	7993
21	172	7667
22	173	7379
23	174	7109
24	175	6860
25	176	6626
26	177	6411
27	179	6214
28	180	6035
29	181	5864
30	182	5717
31	184	5573
32	185	5438
33	187	5315
34	188	5192
35	189	5079
36	190	4969
37	192	4865
38	193	4777
39	195	4688
40	196	4594
41	197	4506
42	198	4427
43	200	4350
44	201	4286
45	204	4247
46	205	4175
47	207	4107
48	208	4046
49	209	3980
50	210	3920
51	211	3859
52	212	3802
53	213	3746
54	214	3693
55	216	3644
56	217	3597
57	219	3561
58	220	3517
59	221	3474
60	222	3432
61	224	3390
62	225	3350
63	226	3312
64	227	3273
65	228	3236
66	229	3199
67	230	3156
68	231	3123
69	232	3092
70	234	3063
71	235	3033
72	236	3002
73	237	2977
74	239	2955
75	240	2927
76	242	2901
77	243	2875
78	244	2850
79	245	2825
80	246	2800
81	248	2778
82	249	2755
83	250	2732
84	251	2706
85	252	2687
86	253	2665
87	255	2646
88	257	2630
89	258	2614
90	259	2596
91	262	2592
92	267	2609
93	269	2597
94	271	2582
95	272	2570
96	274	2554
97	276	2542
98	277	2528
99	279	2519
100	281	2506
101	282	2490
102	284	2476
103	285	2461
104	287	2448
105	288	2434
106	289	2419
107	291	2406
108	292	2394
109	294	2383
110	295	2369
111	297	2360
112	299	2349
113	301	2344
114	303	2333
115	304	2319
116	305	2307
117	307	2298
118	309	2290
119	311	2282
120	313	2278
121	315	2269
122	316	2256
123	318	2246
124	319	2237
125	321	2227
126	322	2219
127	324	2207
128	326	2202
129	328	2195
130	329	2187
131	331	2181
132	333	2171
133	334	2162
134	336	2153
135	337	2143
136	338	2135
137	340	2125
138	342	2121
139	343	2112
140	345	2104
141	347	2097
142	348	2088
143	349	2078
144	351	2070
145	352	2062
146	354	2056
147	356	2050
148	358	2046
149	359	2038
150	362	2037
151	364	2035
152	366	2029
153	368	2024
154	371	2026
155	373	2022
156	375	2014
157	377	2009
158	378	2001
159	379	1994
160	381	1988
161	383	1984
162	385	1977
163	386	1970
164	388	1966
165	390	1961
166	393	1960
167	394	1954
168	395	1947
169	397	1940
170	399	1935
171	400	1930
172	402	1925
173	405	1923
174	406	1918
175	409	1915
176	410	1909
177	412	1903
178	413	1897
179	415	1891
180	416	1882
181	417	1878
182	419	1872
183	421	1868
184	422	1863
185	424	1857
186	425	1851
187	427	1846
188	429	1841
189	430	1836
190	432	1830
191	433	1824
192	435	1820
193	437	1815
194	438	1809
195	439	1804
196	441	1797
197	442	1794
198	444	1789
199	445	1783
200	447	1777
201	449	1773
202	450	1769
203	452	1764
204	453	1758
205	454	1753
206	456	1747
207	457	1741
208	458	1736
209	460	1731
210	461	1726
211	463	1721
212	464	1715
213	465	1710
214	466	1704
215	468	1699
216	469	1695
217	471	1690
218	472	1684
219	473	1679
220	475	1674
221	476	1668
222	477	1664
223	479	1660
224	480	1655
225	481	1650
226	483	1645
227	484	1640
228	485	1635
229	487	1630
230	488	1626
231	490	1623
232	491	1618
233	492	1613
234	494	1609
235	496	1605
236	497	1601
237	498	1596
238	499	1591
239	501	1587
240	502	1582
241	503	1577
242	505	1573
243	506	1568
244	507	1564
245	508	1559
246	510	1554
247	511	1550
248	512	1545
